_id,timestamp,actor,verb,object,metadata
5e734a6e7e21f00553e76dba,2020-03-19T10:33:18.560Z,adminhubu,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-图文课件,1.31
5e734a6e60ba8e056f66a34d,2020-03-19T10:33:18.528Z,adminhubu,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-4：像数据科学家一样思考,0
5e734a6c7e21f00553e76db9,2020-03-19T10:33:16.881Z,adminhubu,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-图文课件,0
5e73396e60ba8e056f66a34b,2020-03-19T09:20:46.381Z,adminhubu,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-图文课件,0
5e70fb8a7e21f00553e76b3b,2020-03-17T16:32:10.979Z,201931106030001,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-图文课件,0
5e70a9526d598205ac9c575a,2020-03-17T10:41:22.511Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-视频5-3：计算思维与数据思维,1191.17
5e70a95269b80405830dabc4,2020-03-17T10:41:22.459Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-4：像数据科学家一样思考,0
5e70a4ab6d598205ac9c572d,2020-03-17T10:21:31.158Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-视频5-2：问题求解与思维方式,1300.24
5e70a4ab69b80405830dab98,2020-03-17T10:21:31.094Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-3：计算思维与数据思维,0
5e709f9569b80405830dab72,2020-03-17T09:59:49.576Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-视频5-1：开篇实例,24720.33
5e709f956d598205ac9c5714,2020-03-17T09:59:49.518Z,201822111310142,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-2：问题求解与思维方式,0
5e7097c869b80405830dab4d,2020-03-17T09:26:32.715Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-视频5-3：计算思维与数据思维,343.68
5e7097c86d598205ac9c56ec,2020-03-17T09:26:32.641Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-4：像数据科学家一样思考,0
5e70967069b80405830dab45,2020-03-17T09:20:48.624Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-视频5-2：问题求解与思维方式,113.51
5e7096706d598205ac9c56e6,2020-03-17T09:20:48.559Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-3：计算思维与数据思维,0
5e7095fe6d598205ac9c56dd,2020-03-17T09:18:54.820Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/learn-unit"",""display"":{""en-US"":""learn-unit""}}",learn-unit:大数据与人工智能通识导论-05 数据思维-图文课件,1.8
5e7095fe69b80405830dab3f,2020-03-17T09:18:54.766Z,201822111511015,"{""id"":""http://kfcoding.com/verbs/select-unit"",""display"":{""en-US"":""select-unit""}}",course-units-unit:大数据与人工智能通识导论-05 数据思维-视频5-2：问题求解与思维方式,0
